text,teks_bersih,teks_normal,teks_stopwords,teks_stemmed,teks_terjemah
"Bagus juga gamenya, kalau bisa sih storynya buat laki laki juga",bagus juga gamenya kalau bisa sih storynya buat laki laki juga,bagus juga gamenya kalau bisa sih storynya buat laki laki juga,bagus gamenya sih storynya laki laki,bagus gamenya sih storynya laki laki,"The game is good, the story is male"
njir lah cewe semua yg komen wkwkwk,njir lah cewe semua yg komen wkwkwk,njir lah cewe semua yang komen tertawa,njir cewe komen tertawa,njir cewe komen tertawa,The female commenter laughed
"dunia game dijadiin referensi buat rl? menarik sih, secara dunia game karakternya udh di develop sempurna. satu atau dua hal mungkin bisa dipelajari. tapi kalo dirimu ingin di treat seperti di dunia game tolong bangun, karena manusia ga ada yg sempurna. manusia pasti ada satu atau dua sifat redflag",dunia game dijadiin referensi buat rl menarik sih secara dunia game karakternya udh di develop sempurna satu atau dua hal mungkin bisa dipelajari tapi kalo dirimu ingin di treat seperti di dunia game tolong bangun karena manusia ga ada yg sempurna manusia pasti ada satu atau dua sifat redflag,dunia game dijadiin referensi buat rl menarik sih secara dunia game karakternya udh di develop sempurna satu atau dua hal mungkin bisa dipelajari tapi kalo dirimu ingin di treat seperti di dunia game tolong bangun karena manusia ga ada yang sempurna manusia pasti ada satu atau dua sifat redflag,dunia game dijadiin referensi rl menarik sih dunia game karakternya udh develop sempurna dipelajari kalo dirimu treat dunia game tolong bangun manusia ga sempurna manusia sifat redflag,dunia game dijadiin referensi rl tarik sih dunia game karakter udh develop sempurna ajar kalo diri treat dunia game tolong bangun manusia ga sempurna manusia sifat redflag,"the game world is used as a reference for rl, it's interesting, the game world, the characters have developed perfectly, teach yourself if you treat the game world, please wake up, humans are not perfect, humans are the nature of redflag"
​ @HanX9300 langsung ke inti aja bang,hanx langsung ke inti aja bang,hanx langsung ke inti saja bang,hanx langsung inti bang,hanx langsung inti bang,Hanx get straight to the point bro
"Lh kok boty pdhl ini game utk cewe ,krkter cowo ny it utk fanservice cewe",lh kok boty pdhl ini game utk cewe krkter cowo ny it utk fanservice cewe,lh kok boty pdhl ini game utk cewe krkter cowo ny it utk fanservice cewe,lh boty pdhl game utk cewe krkter cowo ny it utk fanservice cewe,lh boty pdhl game utk cewe krkter cowo ny it utk fanservice cewe,"lh boty even though it's a game for girls, guys, it's for girls' fanservice"
Kalo yang main cewek gak aneh tapi kalo yang main cowok jelas jadi aneh​ @Yoshito_Yuji ,kalo yang main cewek gak aneh tapi kalo yang main cowok jelas jadi aneh yoshitoyuji,kalo yang main cewek gak aneh tapi kalo yang main cowok jelas jadi aneh yoshitoyuji,kalo main cewek gak aneh kalo main cowok aneh yoshitoyuji,kalo main cewek gak aneh kalo main cowok aneh yoshitoyuji,"If you play a girl, it's not strange if you play a strange boy, Yoshitoyuji"
aku juga mw bgtt,aku juga mw bgtt,aku juga mw bgtt,mw bgtt,mw bgtt,that's great
WKWK,wkwk,tertawa,tertawa,tertawa,laugh
aku juga mau bang,aku juga mau bang,aku juga mau bang,bang,bang,bro
Disematkan anjir😂😂😂,disematkan anjir,disematkan anjir,disematkan anjir,semat anjir,pin anjir
Waduh😮,waduh,waduh,,,
Wanjay ngapain subuh subuh gini,wanjay ngapain subuh subuh gini,wanjay ngapain subuh subuh gini,wanjay ngapain subuh subuh gini,wanjay ngapain subuh subuh gin,What is Wanjay doing at dawn gin?
aku jg mau,aku jg mau,aku juga mau,,,
Game sampah,game sampah,game sampah,game sampah,game sampah,trash game
Makasi bang aku suka game ini love you,makasi bang aku suka game ini love you,makasi bang aku suka game ini love you,makasi bang suka game love you,makas bang suka game love you,thanks bro like the game love you
maaf bang telat 3 jam,maaf bang telat jam,maaf bang telat jam,maaf bang telat jam,maaf bang telat jam,sorry bro I'm late
"bang aku ketinggalan, but thank u for playing this game, big respect for u bang windah, always be happy dan sehat selalu ya bangggg!!!! ❤❤❤❤",bang aku ketinggalan but thank u for playing this game big respect for u bang windah always be happy dan sehat selalu ya bangggg,bang aku ketinggalan but thank u for playing this game big respect for u bang windah always be happy dan sehat selalu ya bangggg,bang ketinggalan but thank u for playing this game big respect for u bang windah always be happy sehat ya bangggg,bang tinggal but thank u for playing this game big respect for u bang windah always be happy sehat ya bangggg,bro stay but thank u for playing this game big respect for u bro windah always be happy and healthy bro
What a ego brok,what a ego brok,what a ego brok,what a ego brok,what a ego brok,what an ego bro
"THANKS BANG BRANDOOO UDH MAININ INI, walau emg sempet nt bbrp kali ya WKWKW. Thank you so much",thanks bang brandooo udh mainin ini walau emg sempet nt bbrp kali ya wkwkw thank you so much,thanks bang brandooo udh mainin ini walau emg sempet nt bbrp kali ya tertawa thank you so much,thanks bang brandooo udh mainin emg sempet nt bbrp kali ya tertawa thank you so much,thanks bang brandooo udh mainin emg sempet nt bbrp kali ya tertawa thank you so much,"Thanks bro, Brandoo, I've played it and I've laughed a few times, thank you so much"
"Yahh telat bang akuu 😢, ketiduran njir baru bangun",yahh telat bang akuu ketiduran njir baru bangun,yahh telat bang akuu ketiduran njir baru bangun,yahh telat bang akuu ketiduran njir bangun,yahh telat bang akuu tidur njir bangun,"yeah, I'm late, I went to sleep and didn't wake up"
p,p,p,p,p,p
"Terima kasih bang windah sudah memainkan game ini. Sebelum windah memainkan game ini, aku sebenarnya gak tau apa apa tentang game ini, tapi setelah windah memainkannya, ternyata sebagus itu bang, dari segi romance dan battle fight menurutku oke",terima kasih bang windah sudah memainkan game ini sebelum windah memainkan game ini aku sebenarnya gak tau apa apa tentang game ini tapi setelah windah memainkannya ternyata sebagus itu bang dari segi romance dan battle fight menurutku oke,terima kasih bang windah sudah memainkan game ini sebelum windah memainkan game ini aku sebenarnya gak tau apa apa tentang game ini tapi setelah windah memainkannya ternyata sebagus itu bang dari segi romance dan battle fight menurutku oke,terima kasih bang windah memainkan game windah memainkan game gak tau game windah memainkannya sebagus bang segi romance battle fight menurutku oke,terima kasih bang windah main game windah main game gak tau game windah main bagus bang segi romance battle fight turut oke,"Thank you bro, Windah, playing the game, Windah, playing the game, don't know, Windah's game is playing well, bro, in terms of romance, battle fight, it's also okay"
seneng banget damai,seneng banget damai,seneng banget damai,seneng banget damai,neng banget damai,Neng is very peaceful
Gak seru bang game nyah,gak seru bang game nyah,gak seru bang game nyah,gak seru bang game nyah,gak seru bang game nyah,"The game isn't fun, bro"
"Windah bbrp detik sekali: ""ganteng, no homo ya"" ; ""gw—evelyn maksudnya""",windah bbrp detik sekali ganteng no homo ya gwevelyn maksudnya,windah bbrp detik sekali ganteng no homo ya gwevelyn maksudnya,windah bbrp detik ganteng no homo ya gwevelyn maksudnya,windah bbrp detik ganteng no homo ya gwevelyn maksud,windah a few seconds handsome no homo ya gwevelyn mean
"aaaaa terimakasih banyak"" bg windah uda mainin game ini, so happy karna dari kemarin berharap bg windah main game ini, lope sekebon pokoknya ❤❤❤❤",aaaaa terimakasih banyak bg windah uda mainin game ini so happy karna dari kemarin berharap bg windah main game ini lope sekebon pokoknya,aaaaa terimakasih banyak bang windah uda mainin game ini so happy karna dari kemarin berharap bang windah main game ini lope sekebon pokoknya,aaaaa terimakasih bang windah uda mainin game so happy karna kemarin berharap bang windah main game lope sekebon pokoknya,aaaaa terimakasih bang windah uda mainin game so happy karna kemarin harap bang windah main game lope kebon pokok,aaaaa thank you bro Windah for playing the game so I'm happy because yesterday I hope bro Windah played the game Lope Kebon Tree
BANG LANJUTINNNN,bang lanjutinnnn,bang lanjutinnnn,bang lanjutinnnn,bang lanjutinnnn,"bro, keep going"
YEYYYY🎉❤❤,yeyyyy,yeyyyy,yeyyyy,yeyyyy,yeyyyy
Bakal lanjut ga bang?,bakal lanjut ga bang,bakal lanjut ga bang,ga bang,ga bang,no bro
Downfall era tapi trending 3 🤪,downfall era tapi trending,downfall era tapi trending,downfall era trending,downfall era trending,downfall of the trending era
MANTAPPPPPPP,mantappppppp,mantappppppp,mantappppppp,mantappppppp,greatpppppp
"battlenya bisa makin susah kok bang, btw zayne emang lakik bgt dr fitur muka hahaha main ini jg lgsg jatuh cinta sama zayne, caleb muncul langsung gonjang ganjing wkwkwk gpp tetep setia sama zayne biar infinity-nya 100❤",battlenya bisa makin susah kok bang btw zayne emang lakik bgt dr fitur muka hahaha main ini jg lgsg jatuh cinta sama zayne caleb muncul langsung gonjang ganjing wkwkwk gpp tetep setia sama zayne biar infinitynya,battlenya bisa makin susah kok bang by the way zayne emang lakik banget dari fitur muka hahaha main ini juga lgsg jatuh cinta sama zayne caleb muncul langsung gonjang ganjing tertawa gpp tetep setia sama zayne biar infinitynya,battlenya susah bang by the way zayne emang lakik banget fitur muka hahaha main lgsg jatuh cinta zayne caleb muncul langsung gonjang ganjing tertawa gpp tetep setia zayne biar infinitynya,battlenya susah bang by the way zayne emang lakik banget fitur muka hahaha main lgsg jatuh cinta zayne caleb muncul langsung gonjang ganjing tertawa gpp tetep setia zayne biar infinitynya,the battle is hard bro by the way zayne really is a man with facial features hahaha play immediately fall in love zayne caleb appears immediately shaking and laughing no matter how loyal zayne is to his infinity
Bang mainin until dawn,bang mainin until dawn,bang mainin until dawn,bang mainin until dawn,bang mainin until dawn,"bro, play until dawn"
kaya kamu ❤,kaya kamu,kaya kamu,kaya,kaya,rich
​ @pntzyxyy  keren lu begitu,pntzyxyy keren lu begitu,pntzyxyy keren lu begitu,pntzyxyy keren lu,pntzyxyy keren lu,pntzyxyy you're cool
 @chandramahudi2417  keren bet guwej,chandramahudi keren bet guwej,chandramahudi keren bet guwej,chandramahudi keren bet guwej,chandramahudi keren bet guwej,chandramahudi is cool bet guwej
Buset kata lu nya keren banget,buset kata lu nya keren banget,buset kata lu nya keren banget,buset lu nya keren banget,buset lu nya keren banget,Your bastard is really cool
Lalu?,lalu,lalu,,,
kek lu,kek lu,seperti lu,lu,lu,you
Perasaan bro setelah komen gini: gilak gw keren banget😱😱😱😱😱😱,perasaan bro setelah komen gini gilak gw keren banget,perasaan bro setelah komen gini gilak gw keren banget,perasaan bro komen gini gilak gw keren banget,asa bro komen gin gilak gw keren banget,"I hope bro, my crazy comments are really cool"
Suki pas ngetik komen ini: buset gila gua keren bgt,suki pas ngetik komen ini buset gila gua keren bgt,suki pas ngetik komen ini buset gila gua keren banget,suki pas ngetik komen buset gila gua keren banget,suki pas ngetik komen buset gila gua keren banget,"Suki, when I typed my crazy comments, was really cool"
kita sama hihuha,kita sama hihuha,kita sama hihuha,hihuha,hihuha,haha
Wkwk gw udah dpt njir cuma modal bansos 😂,wkwk gw udah dpt njir cuma modal bansos,tertawa gw sudah dpt njir cuma modal bansos,tertawa gw dpt njir modal bansos,tertawa gw dpt njir modal bansos,"I laughed, I got social assistance capital"
btw thank you udah mainin gamenyaa banggg aksaokwao makin cinta sama bang windah batubara rispekk bgt alapyu sekebon bang💕💕💕💕💕😘😘😘😘😘,btw thank you udah mainin gamenyaa banggg aksaokwao makin cinta sama bang windah batubara rispekk bgt alapyu sekebon bang,by the way thank you sudah mainin gamenyaa banggg aksaokwao makin cinta sama bang windah batubara rispekk banget alapyu sekebon bang,by the way thank you mainin gamenyaa banggg aksaokwao cinta bang windah batubara rispekk banget alapyu sekebon bang,by the way thank you mainin gamenyaa banggg aksaokwao cinta bang windah batubara rispekk banget alapyu kebon bang,by the way thank you play the game brogg aksaokwao love bro windah coal rispekk really alapyu kebon bro
Bang GW rekomendasi game  CRazy ones mirip Ama Game ini  dan five hearts,bang gw rekomendasi game crazy ones mirip ama game ini dan five hearts,bang gw rekomendasi game crazy ones mirip ama game ini dan five hearts,bang gw rekomendasi game crazy ones ama game five hearts,bang gw rekomendasi game crazy ones ama game five hearts,"Bro, I recommend the game Crazy Ones or the game Five Hearts"
makasih bg aaaa aku seneng bgt bg windah main ini 😭😭,makasih bg aaaa aku seneng bgt bg windah main ini,makasih bang aaaa aku seneng banget bang windah main ini,makasih bang aaaa seneng banget bang windah main,makasih bang aaaa neng banget bang windah main,"Thank you bro, it's really nice bro, Windah to play"
stop yapping woy evelyn,stop yapping woy evelyn,stop yapping woy evelyn,stop yapping woy evelyn,stop yapping woy evelyn,stop yapping wow evelyn
anjirrr gue telatt coyyy😭😭😭😭😭😭😭😭😭🧍🏻‍♀️🧍🏻‍♀️🧍🏻‍♀️,anjirrr gue telatt coyyy,anjirrr gue telatt coyyy,anjirrr gue telatt coyyy,anjirrr gue telatt coyyy,I'm sorry I'm late coyyy
"😂bng muke lu gk related dgn fitur game ini, 🤣 Player game ini sama dgn fans cowok² oplas joget² itu , salah ngomong dikit ilang channel lu bng🤣",bng muke lu gk related dgn fitur game ini player game ini sama dgn fans cowok oplas joget itu salah ngomong dikit ilang channel lu bng,bng muke lu gk related dgn fitur game ini player game ini sama dgn fans cowok oplas joget itu salah ngomong dikit ilang channel lu bng,bng muke lu gk related dgn fitur game player game dgn fans cowok oplas joget salah ngomong dikit ilang channel lu bng,bng muke lu gk related dgn fitur game player game dgn fans cowok oplas joget salah ngomong dikit ilang channel lu bng,"Bng, your muke is not related to the game feature, game player with male fans, dancing, saying something wrong, lost your channel, bro"
